nii_ha,oiii_hb,sii_ha
-0.4946168886982534,-3.468930784668956,-0.5502076693443341
-1.0315115053998412,-0.7205241978069381,-0.9523308020495412
-1.837564787396488,0.3550698260729135,-1.9279474917429176
-1.3843767822407074,-3.7125110663516168,-1.39005005960859
-0.8201093998310185,-0.38578500786444186,-0.7957318194102463
-1.5282982587027334,-1.7796454536099802,-1.1931519688298489
-2.1959032579136633,-1.1592131694724088,-1.1128489837395432
-0.5250825845836644,-2.9039263128548356,-0.12744827488250562
-0.6476395082732367,0.9248951041956275,-0.5837245732827048
-0.129072528519778,-2.1170945292019994,-0.6760760502500239
-0.6987596547322781,-0.4194907453550698,-1.0710594470350536
-0.834479595216834,-1.4138536592887831,-0.8991433203539577
-0.6451742629354271,0.543995727776398,-1.2806673278411345
-0.9392640824575622,-1.6515529770713187,-0.4976026597259244
-1.0026739819539827,-2.892908528454818,-0.44227910708095514
-0.8179509192407082,0.7389445848837751,-0.44659506088125817
-0.9675581004747897,-1.2205555742038428,-1.0277033884380153
-1.0225078738726907,-0.7745858228140889,-0.5310395553711686
-0.6517688989145968,-5.996793051051924,-0.6693230484503834
-0.10138996767932429,-1.6806060705005734,-0.013812283520021418
-0.509204518723223,-0.2083984645069279,-2.2683897097573955
-0.03160284541686313,0.2610215279123267,-0.7120651023656873
-1.8181055237146921,1.22273118165635,-2.035766909902154
-1.1936491422063042,-2.778408038056952,-1.2237941511706811
-0.0673338600388362,-0.7097413591829422,-1.270999617567759
-0.527455362957788,-4.23666417563372,-0.7622845114423774
-1.2028884434105152,0.03554971017202757,-0.19257755723110823
-1.0006029187220733,0.6302393296914417,-2.4092994125918716
-0.9332266855939793,-1.1815121598409846,-1.784502933175578
-1.1593052841856277,-1.5377237876373613,-0.3555397224384226
-1.13261097961702,-2.250896667774164,-0.5843027090956423
-0.4839869633865064,-0.44575782421649984,-1.2822452759685095
-1.672883189747381,-2.081739091077914,-1.3724553221165323
-2.6225909868664132,1.2347795230004408,-1.4508410078244207
-0.3029041201608251,0.9205285755996968,0.14043937953867336
-0.7843333989491938,-2.4473261270047715,-0.5872617637202238
-1.035243618034066,0.18388446308610892,-1.300562541925063
-0.37376526091455986,-2.9939581640179185,-0.4059322340634161
-1.1702066430417588,0.3571802429235546,-0.9449036566782932
-0.6240265027262809,-0.6478340296115164,-0.674773578979849
-0.27391762051461654,0.17129084002542785,-0.3881126460138019
-0.3181637331286212,0.7287694122992718,-0.5171633979301364
-0.7378835520672382,0.21140952914885244,-0.9116416395763164
-2.4374732861523043,0.05148608333182387,-1.7731221681639082
0.27365200466540074,-0.5520627649449779,-2.6902223524194633
-1.3742159270645544,1.1482826069468501,-1.788366412932342
-2.0874161152131165,1.0740770629603489,-1.6000724027320805
-2.2291448723273817,0.9966859727984456,-2.0244585543666864
-1.2199833150636508,0.5766870375947378,-1.1559360830067256
-1.2392767544752488,-3.0831320669059394,-0.504661316203503
-1.7931698519283543,0.14117065069311965,-1.8733876724554492
-2.0713013853144204,-0.4907515875881074,-1.907615982714209
-0.6649800286569061,-0.08766136489564501,-1.1481162395958582
-2.2779818916749406,0.745816006640112,-1.605337651469829
-0.7435082281731198,0.8316397514583542,-0.5343200676673578
-1.4221387024951255,0.2463642788123082,-1.5577055855221045
-0.6955279113775887,-0.5027897610502308,-0.518924848767046
-2.9260906404246754,0.47015613995121436,-2.168848536923706
-0.6205429589685707,-2.8931241984653937,-0.8490161325459958
-1.3994028517075847,-1.6915880372436405,-0.8912162614109402
-1.6332598992992402,-4.781195226766712,-0.6816514381364563
0.02788188085038708,-2.462183436016069,-0.9019357981117476
-1.1358948241626905,-2.2686307426865255,-0.8951556291873461
-1.295654565565627,0.42894764463300566,-1.2993095246933524
-0.3821941159161709,-0.9682721866234019,-0.6482146621726718
-1.2175572850543332,-0.3453824654014496,-0.8711097645229069
-1.2605703256171026,0.5434851418585254,-1.3399994700138127
-0.2575143968623621,-1.7420538466063533,-0.15508391855160145
-1.6349166327727076,-3.319144986328297,-0.544239065035935
-0.9408374305974193,-4.91741727833859,-0.5052049724145208
-0.734925302596686,0.8901419483761188,-0.9936899755966151
-1.3496818940342123,-0.14003140646290294,-0.8040281779683713
-1.0155225318734864,-1.747873988836112,0.01957884283417087
-1.104416736253789,-3.618187138156415,-0.593255578033327
-1.3775472661327726,-0.6211365714662591,-1.1065773618233263
0.049282664818562735,0.7157859023347514,-0.15605310301762712
-0.8139576876626506,-3.9907042948602154,-0.41794565358363506
-0.43046866211780355,0.04278659336821991,-0.9995601932139361
-0.6711793302880409,-4.71171168392619,-0.7517425079246087
-3.2015843905454133,0.1693180376154118,-3.27087726638076
-2.3316912935113407,0.317838241038011,-2.158943921426602
-0.8572058586042175,-2.364859518715285,-0.6625425619624282
-0.5126197813972269,-2.1819685565831435,-0.6672628711461178
0.3858377613856163,-0.8775827816515616,-0.5554679098573642
-1.5803233676847057,0.4263391129046,-2.2843030364357158
-1.1358451770159945,-0.9507459434095153,-1.420882735792098
-1.2746541460212342,-0.9473010428387454,-0.4470203420757996
-0.9923447024711862,-0.006498811858875819,-1.5339242646369515
-0.995816623782595,0.5611635049585217,-0.9651740710602488
-0.5439325587209538,-1.4719513676996314,-0.36728631656172817
-1.0386894943646467,0.20074298667966411,0.07240419258442897
-1.6236926669551082,-0.2902328693077579,-1.5002164270614384
-2.0097668372335775,0.24756810159297513,-1.48285631740531
-1.6443300009800907,-1.2590543995965149,-0.4037811932853402
-1.6718907600667734,-1.1465501180968118,-0.5637280275695923
