logu,logz,logno,logn,nii_ha,oiii_hb,sii_ha
-2.4,-0.6133333333333335,-2.0,0.5,-2.6228539442552474,0.22743949136060596,-0.5498917589154122
-2.4,-0.4866666666666668,-2.0,0.5,-2.544124874760918,0.2485560512417351,-0.4671028117154069
-2.4,-0.3600000000000001,-2.0,0.5,-2.4776416562850443,0.24512062775292523,-0.3963809512119436
-2.4,-0.2333333333333334,-2.0,0.5,-2.425794494856774,0.21432630676704187,-0.3398939181087852
-2.4,-0.10666666666666691,-2.0,0.5,-2.392438034579463,0.1509075644189081,-0.30023669158491406
-2.4,0.019999999999999796,-2.0,0.5,-2.383222534904661,0.04463650300117899,-0.28101170233106204
-2.4,0.1466666666666665,-2.0,0.5,-2.405212553485754,-0.12273262951019599,-0.2875437185365867
-2.4,0.273333333333333,-2.0,0.5,-2.4656738917034247,-0.37973225368793356,-0.3270805762395825
-2.4,0.4,-2.0,0.5,-2.5712691582588647,-0.7621150223515727,-0.40737760487401353
-2.2,-1.5,-2.0,0.5,-3.408076082394068,-0.32217380915231786,-1.3537481214791824
-2.2,-1.3733333333333333,-2.0,0.5,-3.2873231286155615,-0.20659383892549238,-1.231463671072844
-2.2,-1.2466666666666666,-2.0,0.5,-3.1686674856795776,-0.09647107645017891,-1.1118340158356992
-2.2,-1.12,-2.0,0.5,-3.053096679008121,0.005857022984990552,-0.9956191255893886
-2.2,-0.9933333333333334,-2.0,0.5,-2.9419273537143056,0.09756435364680989,-0.8837656574396278
-2.2,-0.8666666666666667,-2.0,0.5,-2.8367643846794692,0.17542448306860334,-0.7774374948758185
-2.2,-0.7400000000000001,-2.0,0.5,-2.7393130665499186,0.2361336666658573,-0.6780326659856427
-2.2,-0.6133333333333335,-2.0,0.5,-2.6511517589535742,0.2767461834556286,-0.5871677512838163
-2.2,-0.4866666666666668,-2.0,0.5,-2.5737379092182024,0.29484136542627226,-0.5066247218840467
-2.2,-0.3600000000000001,-2.0,0.5,-2.5088116971519483,0.2880530411177702,-0.43831003383404044
-2.2,-0.2333333333333334,-2.0,0.5,-2.459054215695282,0.2528718563258607,-0.3843570951689419
-2.2,-0.10666666666666691,-2.0,0.5,-2.4287117894588235,0.18275868957960031,-0.3475223853023918
-2.2,0.019999999999999796,-2.0,0.5,-2.42382333754869,0.06557887408137478,-0.33186660205673335
-2.2,0.1466666666666665,-2.0,0.5,-2.4515062148635636,-0.1191604590165128,-0.34331224248156705
-2.2,0.273333333333333,-2.0,0.5,-2.518140262561033,-0.4010001531953122,-0.38903984538186004
-2.2,0.4,-2.0,0.5,-2.6281801006324415,-0.8108847331250787,-0.4746925304440983
-2.0,-1.5,-2.0,0.5,-3.427517532020424,-0.26656987558698125,-1.3835421748049839
